CLSS ID,CRN,Term,Term Code,Department Code,Subject Code,Catalog Number,Course,Section,Course Title,Long Title,Schedule Type,Title,Meeting Pattern,Meetings,Instructor,Building and Room,Status,Part of Term,Session,Campus,Instructional Method,Visible,Special Approval,Credit Hrs Min,Credit Hours,Grade Mode,URL,Attributes,Course Attributes,Enrollment,Maximum Enrollment,Prior Enrollment,Waitlist Maximum,Wait Total,Cross-listings,Cross-list Enrollment,Cross-list Maximum,Cross-list Wait Total,Comments (details for ASO and/or justifications for Dean/FM approvals),Section Text (visible in student views)#1,Section Text (visible in student views)#2,Final Exam,"Restrictions
Student Attribute 
Include/Exclude","Restrictions
Student Attribute","Restrictions
Classification 
Include/Exclude","Restrictions
Classification","Restrictions
Degree 
Include/Exclude","Restrictions
Degree","Restrictions
Department 
Include/Exclude","Restrictions
Department","Restrictions
Level 
Include/Exclude","Restrictions
Level","Restrictions
Field of Study - All 
Include/Exclude","Restrictions
Field of Study - All","Restrictions
Field of Study - Concentration 
Include/Exclude","Restrictions
Field of Study - Concentration","Restrictions
Field of Study - Major 
Include/Exclude","Restrictions
Field of Study - Major","Restrictions
Field of Study - Minor 
Include/Exclude","Restrictions
Field of Study - Minor","Restrictions
Program 
Include/Exclude","Restrictions
Program"
4073,32221,2024 Spring,202420,DGM,DAGV,3360,DAGV 3360,320 (32221),Advanced Character Rigging,,Face to Face and Online (FFO),,Does Not Meet,Does Not Meet [Face to Face and Online (Class)],"Staff [Primary, 100%]",Choose an Option,Cancelled,Full Term (1) - 1 (1/8/24 to 5/1/24),Not Applicable,M,Regular Class with Lab (LEL),No,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,Lab access fee of $45 applies,Lab access fee of $45 applies,0,0,14,0,0,,,,,,,"Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.
This course section will be held at Thanksgiving Point (2912 Executive Parkway, Lehi).",(No Option Selected),Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6594,36879,2024 Spring,202420,DGM,DAGV,3450,DAGV 3450,003 (36879),Animation/Game Production II,,Face to Face and Online (FFO),,W 2pm-2:50pm,W 2pm-2:50pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Esmay, Larry (10012421) [Primary, 25%]; Watts, Matthew (10976633) [75%]",CS 518; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),2,2,Standard Letter,https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery; Course fee of $19 applies; Software fee of $15 applies; Lab access fee of $45 applies,Course fee of $19 applies; Software fee of $15 applies; Lab access fee of $45 applies,0,28,15,25,0,,,,,animation cohort,,"Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.",Y--Classroom/Lab is needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
2636,28112,2024 Spring,202420,DGM,DAGV,3450,DAGV 3450,320 (28112),Animation/Game Production II,,Face to Face and Online (FFO),,M 1pm-1:50pm,M 1pm-1:50pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Romrell, Anthony (10536064) [Primary, 100%]",TG 114; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),2,2,Standard Letter,https://www.uvu.edu/maps/,HY - Hybrid Delivery; Course fee of $19 applies; Software fee of $15 applies; Lab access fee of $45 applies,Course fee of $19 applies; Software fee of $15 applies; Lab access fee of $45 applies,0,26,13,25,0,,,,,please schedule in TG 114,,"This section meets at Thanksgiving Point, 2912 Executive Parkway, Lehi
Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.",Y--Classroom/Lab is needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7165,37564,2024 Spring,202420,DGM,DAGV,345L,DAGV 345L,201 (37564),Animation and Game Lab II,,Face to Face Lab (X),,MW 3pm-4:15pm,MW 3pm-4:15pm [Face to Face Lab (Class)],"Staff [Primary, 100%]",CS 518,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Laboratory (LAB),Yes,(None Assigned),1,1,Standard Letter,,,,0,28,0,25,0,,,,,animation cohort,,,N--Classroom/Lab is NOT needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
7176,37957,2024 Spring,202420,DGM,DAGV,345L,DAGV 345L,320 (37957),Animation and Game Lab II,,Face to Face Lab (X),,F 10am-12:30pm,F 10am-12:30pm [Face to Face Lab (Class)],"Staff [Primary, 100%]",TG 110,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Laboratory (LAB),Yes,(None Assigned),1,1,Standard Letter,https://www.uvu.edu/maps/,,,0,26,0,25,0,,,,,"Jan Bentley gave permission to use TG 110 on Friday for this lab.  Please schedule in TG 110 if available.  If not, please leave in CS514.  I forwarded the approval email from Jan.  Thanks!",,"This section is held at Thanksgiving Point, 2912 Executive Parkway, Lehi
",N--Classroom/Lab is NOT needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7174,38070,2024 Spring,202420,DGM,DAGV,3460,DAGV 3460,320 (38070),Game Development III,,Face to Face and Online (FFO),,M 12pm-12:50pm,M 12pm-12:50pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Romrell, Anthony (10536064) [Primary, 100%]",TG 114; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/maps/,HY - Hybrid Delivery; Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,26,0,25,0,,,,,please schedule in TG 114 if possible,,"This section is held at Thanksgiving Point, 2912 Executive Parkway, Lehi
Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.		
",Y--Classroom/Lab is needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6743,37067,2024 Spring,202420,DGM,DAGV,3470,DAGV 3470,001 (37067),Animation Story Development WE,,Face to Face and Online (FFO),,MW 1pm-1:50pm,MW 1pm-1:50pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Coppieters, Michael (10089060) [Primary, 100%]",CS 518; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery; Writing Enriched; Lab access fee of $45 applies,Writing Enriched; Lab access fee of $45 applies,0,28,15,25,0,,,,,animation cohort,,"Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.",Y--Classroom/Lab is needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
3900,31720,2024 Spring,202420,DGM,DAGV,3470,DAGV 3470,320 (31720),Animation Story Development WE,,Face to Face and Online (FFO),,W 12pm-12:50pm,W 12pm-12:50pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Lantz, Clayton (10500967) [Primary, 100%]",TG 114; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter, https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery; Writing Enriched; Lab access fee of $45 applies,Writing Enriched; Lab access fee of $45 applies,0,26,15,25,0,,,,,please schedule in TG 114,,"This section is held at Thanksgiving Point, 2912 Executive Parkway, Lehi
Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.",Y--Classroom/Lab is needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,20167,2024 Spring,202420,DGM,DAGV,4450,DAGV 4450,001 (20167),Advanced Tech Direction II,,Face to Face and Online (FFO),,R 2:30pm-3:45pm,R 2:30pm-3:45pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Esmay, Larry (10012421) [Primary, 100%]",CS 514; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery; Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,28,15,25,0,,,,,animation cohort,,"Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.",Y--Classroom/Lab is needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
7593,NEW,2024 Spring,202420,DGM,DAGV,4450,DAGV 4450,320 (NEW),Advanced Tech Direction II,,Face to Face and Online (FFO),,W 10am-10:50am,W 10am-10:50am [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Staff [Primary, 100%]",General Assignment Room; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,,HY - Hybrid Delivery,Software fee of $15 applies; Lab access fee of $45 applies,0,25,,25,0,,,,,Please schedule in TG 114 if available.  thanks,,,Y--Classroom/Lab is needed,,,,,,,,,,,,,,,,,,,,
6804,37145,2024 Spring,202420,DGM,DAGV,4450,DAGV 4450,I01 (37145),Advanced Tech Direction II,,Face to Face (F),,Does Not Meet,Does Not Meet [Face to Face (Class)],"Staff [Primary, 100%]",Choose an Option,Cancelled,Full Term (1) - 1 (1/8/24 to 5/1/24),Not Applicable,M,Individualized Instruction (INV),No,Department Approval Required,3,3,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,0,7,0,0,,,,,,,,(No Option Selected),Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7172,37565,2024 Spring,202420,DGM,DAGV,4550,DAGV 4550,001 (37565),Performance Animation,,Face to Face and Online (FFO),,T 11:30am-12:45pm,T 11:30am-12:45pm [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Staff [Primary, 100%]",CS 518; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery; Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,28,0,25,0,,,,,animation cohort,,"Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.",Y--Classroom/Lab is needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7173,37566,2024 Spring,202420,DGM,DAGV,490R,DAGV 490R,001 (37566),Senior Capstone,,Face to Face (F),,R 11:30am-2pm,R 11:30am-2pm [Face to Face (Class)],"Esmay, Larry (10012421) [Primary, 100%]",CS 514,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,,,,0,28,0,25,0,,,,,animation cohort,,,Y--Classroom/Lab is needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
7136,38063,2024 Spring,202420,DGM,DAGV,490R,DAGV 490R,320 (38063),Senior Capstone,,Face to Face and Online (FFO),,MW 11am-11:50am,MW 11am-11:50am [Face to Face and Online (Class)]; Does Not Meet [Face to Face and Online (Class)],"Romrell, Anthony (10536064) [Primary, 100%]",TG 114; ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,HY - Hybrid Delivery,,0,26,0,25,0,,,,,"Please schedule in room TG 114 - Thanksgiving Point
cohort",,"Course is taught both in person, in a classroom, and via technology. The technology-delivered components include teaching and learning activities and reduces the time traditionally spent in the face-to-face class.		
This section is held at Thanksgiving Point, 2912 Executive Parkway, Lehi
",N--Classroom/Lab is NOT needed,Include (I),University Advanced Standing (UAS) ,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,23430,2024 Spring,202420,DGM,DGM,1061,DGM 1061,001 (23430),Digital Cinema Editing I,,Face to Face (F),,MW 1pm-2:50pm,MW 1pm-2:50pm [Face to Face (Class)],"Andersen, Duane (10209228) [Primary, 100%]",DX 121,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class with Lab (LEL),Yes,(None Assigned),3,3,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,28,25,25,0,,,,,,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
2679,28245,2024 Spring,202420,DGM,DGM,1061,DGM 1061,002 (28245),Digital Cinema Editing I,,Livestream (LS),,MW 9am-10:50am,MW 9am-10:50am [Livestream (Class)],"Veenendaal, Gabriel (10914533) [Primary, 100%]",LIVE STREAM,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class with Lab (LEL),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,28,24,28,0,,,,,,,"Lecture is held live on specific days and times, but may include an online component.  Students participate from home using their own computer or device, and interact with the instructor and classmates on camera.",(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
4069,32211,2024 Spring,202420,DGM,DGM,1061,DGM 1061,601 (32211),Digital Cinema Editing I,,Face to Face (F),,TR 7:30pm-9:20pm,TR 7:30pm-9:20pm [Face to Face (Class)],"Miner, John (10692154) [Primary, 100%]",DX 121,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Evening,M,Regular Class with Lab (LEL),Yes,(None Assigned),3,3,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,28,26,25,0,,,,,,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,20157,2024 Spring,202420,DGM,DGM,1063,DGM 1063,X01 (20157),Image Editing,,Online (W),,Does Not Meet,Does Not Meet [Online (Class)],"Brown, Kim (10550190) [Primary, 100%]",ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Not Applicable,M,Regular Class with Lab (LEL),Yes,(None Assigned),2,2,Standard Letter,https://www.uvu.edu/otl/students/index.html,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,30,29,25,0,,,,,,,,N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
4379,33023,2024 Spring,202420,DGM,DGM,1063,DGM 1063,X03 (33023),Image Editing,,Online (W),,Does Not Meet,Does Not Meet [Online (Class)],"Yamada, Kristina (10630180) [Primary, 100%]",ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Not Applicable,M,Regular Class with Lab (LEL),Yes,(None Assigned),2,2,Standard Letter,https://www.uvu.edu/otl/students/index.html,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,30,35,25,0,,,,,,,,N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6671,36965,2024 Spring,202420,DGM,DGM,1110,DGM 1110,001 (36965),Digital Media Essentials I,,Face to Face (F),,Does Not Meet,Does Not Meet [Face to Face (Class)],"Staff [Primary, 100%]",Choose an Option,Cancelled,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),No,(None Assigned),4,4,Standard Letter,https://www.uvu.edu/socialimpact/,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,0,11,0,0,,,,,,,This section requires students to participate in at least 20 hours of community-engaged service.,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
1236,21407,2024 Spring,202420,DGM,DGM,1110,DGM 1110,002 (21407),Digital Media Essentials I,,Face to Face (F),,MTWR 9am-9:50am,MTWR 9am-9:50am [Face to Face (Class)],"Howard, Trent (10566346) [Primary, 100%]",CS 512,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),4,4,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,25,22,25,0,,,,,,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
957,17849,2024 Spring,202420,DGM,DGM,1110,DGM 1110,003 (17849),Digital Media Essentials I,,Face to Face (F),,MW 11am-12:40pm,MW 11am-12:40pm [Face to Face (Class)],"Staff [Primary, 100%]",CS 512,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),4,4,Standard Letter,https://www.uvu.edu/socialimpact/,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,25,29,25,0,,,,,,,This section requires students to participate in at least 20 hours of community-engaged service.,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
140,10690,2024 Spring,202420,DGM,DGM,1110,DGM 1110,004 (10690),Digital Media Essentials I,,Face to Face (F),,MW 1pm-2:40pm,MW 1pm-2:40pm [Face to Face (Class)],"Staff [Primary, 100%]",CS 512,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),4,4,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,25,16,25,0,,,,,,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
1076,20158,2024 Spring,202420,DGM,DGM,1110,DGM 1110,005 (20158),Digital Media Essentials I,,Face to Face (F),,TR 3pm-4:40pm,TR 3pm-4:40pm [Face to Face (Class)],"Boss, Braden (10686744) [Primary, 100%]",CS 512,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),4,4,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,25,22,25,0,,,,,,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
6032,36107,2024 Spring,202420,DGM,DGM,1110,DGM 1110,H17 (36107),Digital Media Essentials I,,Face to Face (F),,Does Not Meet,Does Not Meet [Face to Face (Class)],"Staff [Primary, 100%]",HSOR TBA,Active,HS Semester (HSS) - HSS (1/2/24 to 6/7/24),Not Applicable,M,Regular Class without Lab (LEC),Yes,(None Assigned),4,4,Standard Letter,https://www.uvu.edu/concurrent/,,Software fee of $15 applies; Lab access fee of $45 applies,0,100,8,0,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,Include (I),High School Concurrent Enroll (HSCE) 
6034,36109,2024 Spring,202420,DGM,DGM,1110,DGM 1110,H42 (36109),Digital Media Essentials I,,Face to Face (F),,Does Not Meet,Does Not Meet [Face to Face (Class)],"Staff [Primary, 100%]",HSSF TBA,Active,HS Semester (HSS) - HSS (1/2/24 to 6/7/24),Not Applicable,M,Regular Class without Lab (LEC),Yes,(None Assigned),4,4,Standard Letter,https://www.uvu.edu/concurrent/,,Software fee of $15 applies; Lab access fee of $45 applies,0,100,12,0,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,Include (I),High School Concurrent Enroll (HSCE) 
6000,36068,2024 Spring,202420,DGM,DGM,1110,DGM 1110,J53 (36068),Digital Media Essentials I,,Face to Face (F),,Does Not Meet,Does Not Meet [Face to Face (Class)],"Staff [Primary, 100%]",HSSH TBA,Active,HS Semester (HSS) - HSS (1/2/24 to 6/7/24),Not Applicable,M,Regular Class without Lab (LEC),Yes,(None Assigned),4,4,Standard Letter,https://www.uvu.edu/concurrent/,,Software fee of $15 applies; Lab access fee of $45 applies,0,100,2,0,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,Include (I),High School Concurrent Enroll (HSCE) 
4936,34289,2024 Spring,202420,DGM,DGM,1110,DGM 1110,J64 (34289),Digital Media Essentials I,,Face to Face (F),,Does Not Meet,Does Not Meet [Face to Face (Class)],"Staff [Primary, 100%]",HSMM TBA,Active,HS Semester (HSS) - HSS (1/2/24 to 6/7/24),Not Applicable,M,Regular Class without Lab (LEC),Yes,(None Assigned),4,4,Standard Letter,https://www.uvu.edu/concurrent,,Software fee of $15 applies; Lab access fee of $45 applies,0,100,0,0,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,Include (I),High School Concurrent Enroll (HSCE) 
2886,28946,2024 Spring,202420,DGM,DGM,1110,DGM 1110,X01 (28946),Digital Media Essentials I,,Online (W),,Does Not Meet,Does Not Meet [Online (Class)],"Mayo, Russell (10018964) [Primary, 100%]",ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Not Applicable,M,Regular Class without Lab (LEC),Yes,(None Assigned),4,4,Standard Letter,https://www.uvu.edu/otl/students/index.html,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,25,30,25,0,,,,,,,,N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
2200,26454,2024 Spring,202420,DGM,DGM,1110,DGM 1110,X02 (26454),Digital Media Essentials I,,Online (W),,Does Not Meet,Does Not Meet [Online (Class)],"Yamada, Kristina (10630180) [Primary, 100%]",ONLINE ONLINE,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Not Applicable,M,Regular Class without Lab (LEC),Yes,(None Assigned),4,4,Standard Letter,https://www.uvu.edu/otl/students/index.html,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,25,27,25,0,,,,,,,,N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,29679,2024 Spring,202420,DGM,DGM,1500,DGM 1500,001 (29679),Intro to Digital Cinema,,Face to Face (F),,M 4pm-4:50pm,M 4pm-4:50pm [Face to Face (Class)],"Andersen, Duane (10209228) [Primary, 100%]",CS 404,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),1,1,Standard Letter,,Lab access fee of $45 applies,Lab access fee of $45 applies,0,150,50,50,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2192,26407,2024 Spring,202420,DGM,DGM,1510,DGM 1510,001 (26407),Film Production Analysis,,Face to Face (F),,TR 2:30pm-5:25pm,TR 2:30pm-5:25pm [Face to Face (Class)],"Nibley, Alex (10007839) [Primary, 100%]",CS 404,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class with Lab (LEL),Yes,(None Assigned),3,3,Standard Letter,,Course fee of $18 applies; Software fee of $15 applies; Lab access fee of $45 applies,Course fee of $18 applies; Software fee of $15 applies; Lab access fee of $45 applies,0,100,57,50,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582,27931,2024 Spring,202420,DGM,DGM,1520,DGM 1520,001 (27931),Digital Cinema Production I,,Face to Face and Livestream (FLS),,MW 11am-12:40pm,M 11am-12:40pm [Face to Face and Livestream (Class)]; W 11am-12:40pm [Face to Face and Livestream (Class)],"Mackenzie, Jennifer (10942286) [Primary, 100%]",CS 412; LIVE STREAM,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class with Lab (LEL),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,28,24,28,0,,,,,,,"Lecture is held live on specific days and times, part face-to-face in a classroom, and part via livestream.  For the livestream portion, students will participate from home using their own computer or device, and interact with the instructor and classmates on camera.",(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
